引き込む	引き込め
すきかえす	すきかえせ
看取る	看取れ
睦む	睦め
きこす	きこせ
つける	つけろ
封切る	封切れ
逃げまどう	逃げまどえ
さしだす	さしだせ
わりきる	わりきれ
飛び抜ける	飛び抜けろ
書き直せる	書き直せろ
ひしめきあう	ひしめきあえ
乗り組む	乗り組め
引き戻す	引き戻せ
持てる	持てろ
立あう	立あえ
基づく	基づけ
弓引く	弓引け
ぶち壊す	ぶち壊せ
わきあがる	わきあがれ
語りつぐ	語りつげ
問掛ける	問掛けろ
狙われる	狙われろ
埋めあわす	埋めあわせ
喚ぶ	喚べ
しりぞける	しりぞけろ
こす	こせ
大人ぶる	大人ぶれ
居る	居ろ
ねじふせる	ねじふせろ
しゃくりあげる	しゃくりあげろ
にごせる	にごせろ
較べる	較べろ
罷り越す	罷り越せ
射せる	射せろ
描きだす	描きだせ
けっとばす	けっとばせ
満つ	満て
明け放す	明け放せ
返り咲ける	返り咲けろ
誘い合わせる	誘い合わせろ
つきつける	つきつけろ
埋る	埋れ
かき乱す	かき乱せ
だまし取る	だまし取れ
配り歩く	配り歩け
抱き込む	抱き込め
めしあがる	めしあがれ
つうずる	めしあがれ
ずば抜ける	ずば抜けろ
泣きぬれる	泣きぬれろ
くしけずる	くしけずれ
つみとる	つみとれ
割戻す	割戻せ
さだまる	さだまれ
睨み合う	睨み合え
かわれる	かわれろ
そむ	そめ
後らす	後らせ
ごわする	ごわしろ
迷わす	迷わせ
泥む	泥め
仕出す	仕出せ
おくする	おくしろ
逆らえる	逆らえろ
居あわせる	居あわせろ
苛立つ	苛立て
堕ちる	堕ちろ
慮る	慮れ
怖じ気立つ	怖じ気立て
きずく	きずけ
とりあつかえる	とりあつかえろ
扱き雑ぜる	扱き雑ぜろ
はじける	はじけろ
ふしおがむ	ふしおがめ
黙る	黙れ
のめす	のめせ
危ぶむ	危ぶめ
いりびたる	いりびたれ
洗い流す	洗い流せ
呉れる	呉れろ
定まる	定まれ
ばかせる	ばかせろ
語りあう	語りあえ
敬える	敬えろ
食らわせる	食らわせろ
わたる	わたれ
いいまわす	いいまわせ
打ち抜ける	打ち抜けろ
ヒネる	ヒネれ
転げでる	転げでろ
打ちのめす	打ちのめせ
思い合せる	思い合せろ
萎れる	萎れろ
総べる	総べろ
鳴らす	鳴らせ
貸出す	貸出せ
差し換える	差し換えろ
もぐり込む	もぐり込め
睨む	睨め
打ちつづく	打ちつづけ
おいかける	おいかけろ
ふりつもる	ふりつもれ
かわく	かわけ
はしりだせる	はしりだせろ
省みる	省みろ
出合う	出合え
といかえす	といかえせ
かぶさる	かぶされ
こづく	こづけ
這う	這え
縫う	縫え
降込む	降込め
はめこむ	はめこめ
すみわたる	すみわたれ
いふ	いへ
思へる	思へろ
刷りこむ	刷りこめ
くらわせる	くらわせろ
ゆすぶる	ゆすぶれ
触れ合える	触れ合えろ
はねあがる	はねあがれ
察する	察しろ
ころげおちる	ころげおちろ
すぐす	すぐせ
押しかえす	押しかえせ
ただよわす	ただよわせ
結論づける	結論づけろ
しばり上げる	しばり上げろ
欠く	欠け
乗り継ぐ	乗り継げ
ひめる	ひめろ
むせびなく	むせびなけ
やじる	やじれ
けっする	けっしろ
みかぎる	みかぎれ
わりあてる	わりあてろ
かき立てる	かき立てろ
あわてふためく	あわてふためけ
吸付ける	吸付けろ
ごねる	ごねろ
ほざく	ほざけ
せめぐ	せめげ
食さがる	食さがれ
追い打つ	追い打て
休まれる	休まれろ
動じる	動じろ
染まる	染まれ
立ち迷う	立ち迷え
染め上げる	染め上げろ
たちむかう	たちむかえ
はかれる	はかれろ
巻き付く	巻き付け
光らせる	光らせろ
挫ける	挫けろ
燃え移る	燃え移れ
鈍する	鈍しろ
ふくれあがる	ふくれあがれ
いいそこなう	いいそこなえ
ぶんなげる	ぶんなげろ
生い立つ	生い立て
ごたつく	ごたつけ
うろたえる	うろたえろ
燃える	燃えろ
はむかう	はむかえ
推する	推しろ
取逃す	取逃せ
乗り通す	乗り通せ
よそおう	よそおえ
さむけだつ	さむけだて
こぼれおちる	こぼれおちろ
かいつくす	かいつくせ
祀る	祀れ
痛め付ける	痛め付けろ
持ちきる	持ちきれ
疑える	疑えろ
掻き曇る	掻き曇れ
返り咲く	返り咲け
うばえる	うばえろ
願い出る	願い出ろ
落ち延びる	落ち延びろ
辱める	辱めろ
おったてる	おったてろ
編み出す	編み出せ
呼び止める	呼び止めろ
澄みきる	澄みきれ
踏みきる	踏みきれ
寄り付く	寄り付け
だきこむ	だきこめ
轟かせる	轟かせろ
仰ける	仰けろ
毒する	毒しろ
かかえる	かかえろ
ほふる	ほふれ
捻る	捻れ
触り合う	触り合え
角張る	角張れ
悦ぶ	悦べ
いちづける	いちづけろ
仕込める	仕込めろ
くいこめる	くいこめろ
組みこむ	組みこめ
おそう	おそえ
あつかえる	あつかえろ
嘱する	嘱しろ
なげきくらす	なげきくらせ
けやぶる	けやぶれ
つくりなおす	つくりなおせ
まるめる	まるめろ
しびれる	しびれろ
溶けあう	溶けあえ
突き合わす	突き合わせ
はぐる	はぐれ
頼む	頼め
ゆがむ	ゆがめ
はみ出る	はみ出ろ
あおむ	あおめ
玩ぶ	玩べ
裁てる	裁てろ
ちりいそぐ	ちりいそげ
棚引く	棚引け
引き下がる	引き下がれ
てぐすねひく	てぐすねひけ
括れる	括れろ
引き締まる	引き締まれ
参れる	参れろ
立ちならぶ	立ちならべ
そらうそぶく	そらうそぶけ
羨む	羨め
ふきかえす	ふきかえせ
はぐ	はげ
みはらす	みはらせ
けおされる	けおされろ
洒落れる	洒落れろ
おもいやる	おもいやれ
ふとる	ふとれ
ちぢらす	ちぢらせ
うちまくる	うちまくれ
明け残る	明け残れ
ひきわたす	ひきわたせ
ならびたてる	ならびたてろ
書き出せる	書き出せろ
聞きつける	聞きつけろ
研ぐ	研げ
つきはなせる	つきはなせろ
萌む	萌め
ませる	ませろ
折り込める	折り込めろ
ふり入れる	ふり入れろ
押し分ける	押し分けろ
見慣れる	見慣れろ
跳ねのける	跳ねのけろ
染む	染め
訃ぐ	訃げ
拒める	拒めろ
貫き通せる	貫き通せろ
くねる	くねれ
ふりやむ	ふりやめ
ゆらぐ	ゆらげ
読み切れる	読み切れろ
ようだつ	ようだて
またす	またせ
畳み込める	畳み込めろ
掛け合える	掛け合えろ
誘い出す	誘い出せ
のりまわす	のりまわせ
ほぐせる	ほぐせろ
ぜっする	ぜっしろ
蔵する	蔵しろ
食い違う	食い違え
印す	印せ
手古摺る	手古摺れ
まびける	まびけろ
わりこむ	わりこめ
しくむ	しくめ
怪しむ	怪しめ
締めつける	締めつけろ
受ける	受けろ
立ちどまる	立ちどまれ
はいりきる	はいりきれ
証す	証せ
漕げる	漕げろ
捜しまわる	捜しまわれ
ゆきわたる	ゆきわたれ
相入れる	相入れろ
奏す	奏せ
悦べる	悦べろ
料る	料れ
吸い寄せる	吸い寄せろ
せぐくまる	せぐくまれ
よえる	よえろ
阻める	阻めろ
くるわす	くるわせ
わすれさる	わすれされ
隠る	隠れ
おもいのこす	おもいのこせ
探し出せる	探し出せろ
成さがる	成さがれ
およげる	およげろ
引き換える	引き換えろ
引き離せる	引き離せろ
さえわたる	さえわたれ
抱き起こせる	抱き起こせろ
むち打つ	むち打て
抗う	抗え
しょげかえる	しょげかえれ
取り調べる	取り調べろ
捕われる	捕われろ
なる	なれ
ふししずむ	ふししずめ
寂する	寂しろ
取り持つ	取り持て
おもいあたる	おもいあたれ
語りかける	語りかけろ
引っ越せる	引っ越せろ
おもいなす	おもいなせ
けす	けせ
ぎらつく	ぎらつけ
きりくむ	きりくめ
刻める	刻めろ
世ばなれる	世ばなれろ
ひっくくる	ひっくくれ
そぼぬれる	そぼぬれろ
教え諭す	教え諭せ
織り込める	織り込めろ
仰け反る	仰け反れ
けがれる	けがれろ
聞漏らす	聞漏らせ
あざける	あざけれ
飼う	飼え
引っ括める	引っ括めろ
ひょうげる	ひょうげろ
延べる	延べろ
かけ隔てる	かけ隔てろ
播く	播け
かすめ取る	かすめ取れ
くだす	くだせ
角立つ	角立て
ほこる	ほこれ
芽ぶく	芽ぶけ
疲れはてる	疲れはてろ
くわわる	くわわれ
追い付く	追い付け
差し上る	差し上れ
踏ん切る	踏ん切れ
ぬきはなつ	ぬきはなて
言い付ける	言い付けろ
そよ吹く	そよ吹け
ぼる	ぼれ
蹲る	蹲れ
