引き込む	引き込ま
すきかえす	すきかえさ
看取る	看取ら
睦む	睦ま
きこす	きこさ
つける	つけ
封切る	封切ら
逃げまどう	逃げまどわ
さしだす	さしださ
わりきる	わりきら
飛び抜ける	飛び抜け
書き直せる	書き直せ
ひしめきあう	ひしめきあわ
乗り組む	乗り組ま
引き戻す	引き戻さ
持てる	持て
立あう	立あわ
基づく	基づか
弓引く	弓引か
ぶち壊す	ぶち壊さ
わきあがる	わきあがら
語りつぐ	語りつが
問掛ける	問掛け
狙われる	狙われ
埋めあわす	埋めあわさ
喚ぶ	喚ば
しりぞける	しりぞけ
こす	こさ
大人ぶる	大人ぶら
居る	居
ねじふせる	ねじふせ
しゃくりあげる	しゃくりあげ
にごせる	にごせ
較べる	較べ
罷り越す	罷り越さ
射せる	射せ
描きだす	描きださ
けっとばす	けっとばさ
満つ	満た
明け放す	明け放さ
返り咲ける	返り咲け
誘い合わせる	誘い合わせ
つきつける	つきつけ
埋る	埋ら
かき乱す	かき乱さ
だまし取る	だまし取ら
配り歩く	配り歩か
抱き込む	抱き込ま
めしあがる	めしあがら
つうずる	つうぜ
ずば抜ける	ずば抜け
泣きぬれる	泣きぬれ
くしけずる	くしけずら
つみとる	つみとら
割戻す	割戻さ
さだまる	さだまら
睨み合う	睨み合わ
かわれる	かわれ
そむ	そま
後らす	後らさ
ごわする	ごわし
迷わす	迷わさ
泥む	泥ま
仕出す	仕出さ
おくする	おくし
逆らえる	逆らえ
居あわせる	居あわせ
苛立つ	苛立た
堕ちる	堕ち
慮る	慮ら
怖じ気立つ	怖じ気立た
きずく	きずか
とりあつかえる	とりあつかえ
扱き雑ぜる	扱き雑ぜ
はじける	はじけ
ふしおがむ	ふしおがま
黙る	黙ら
のめす	のめさ
危ぶむ	危ぶま
いりびたる	いりびたら
洗い流す	洗い流さ
呉れる	呉れ
定まる	定まら
ばかせる	ばかせ
語りあう	語りあわ
敬える	敬え
食らわせる	食らわせ
わたる	わたら
いいまわす	いいまわさ
打ち抜ける	打ち抜け
ヒネる	ヒネら
転げでる	転げで
打ちのめす	打ちのめさ
思い合せる	思い合せ
萎れる	萎れ
総べる	総べ
鳴らす	鳴らさ
貸出す	貸出さ
差し換える	差し換え
もぐり込む	もぐり込ま
睨む	睨ま
打ちつづく	打ちつづか
おいかける	おいかけ
ふりつもる	ふりつもら
かわく	かわか
はしりだせる	はしりだせ
省みる	省み
出合う	出合わ
といかえす	といかえさ
かぶさる	かぶさら
こづく	こづか
這う	這わ
縫う	縫わ
降込む	降込ま
はめこむ	はめこま
すみわたる	すみわたら
いふ	いは
思へる	思へ
刷りこむ	刷りこま
くらわせる	くらわせ
ゆすぶる	ゆすぶら
触れ合える	触れ合え
はねあがる	はねあがら
察する	察し
ころげおちる	ころげおち
すぐす	すぐさ
押しかえす	押しかえさ
ただよわす	ただよわさ
結論づける	結論づけ
しばり上げる	しばり上げ
欠く	欠か
乗り継ぐ	乗り継が
ひめる	ひめ
むせびなく	むせびなか
やじる	やじら
けっする	けっし
みかぎる	みかぎら
わりあてる	わりあて
かき立てる	かき立て
あわてふためく	あわてふためか
吸付ける	吸付け
ごねる	ごね
ほざく	ほざか
せめぐ	せめが
食さがる	食さがら
追い打つ	追い打た
休まれる	休まれ
動じる	動じ
染まる	染まら
立ち迷う	立ち迷わ
染め上げる	染め上げ
たちむかう	たちむかわ
はかれる	はかれ
巻き付く	巻き付か
光らせる	光らせ
挫ける	挫け
燃え移る	燃え移ら
鈍する	鈍し
ふくれあがる	ふくれあがら
いいそこなう	いいそこなわ
ぶんなげる	ぶんなげ
生い立つ	生い立た
ごたつく	ごたつか
うろたえる	うろたえ
燃える	燃え
はむかう	はむかわ
推する	推し
取逃す	取逃さ
乗り通す	乗り通さ
よそおう	よそおわ
さむけだつ	さむけだた
こぼれおちる	こぼれおち
かいつくす	かいつくさ
祀る	祀ら
痛め付ける	痛め付け
