引き込む	引き込み
すきかえす	すきかえし
看取る	看取り
睦む	睦み
きこす	きこし
つける	つけ
封切る	封切り
逃げまどう	逃げまどい
さしだす	さしだし
わりきる	わりきり
飛び抜ける	飛び抜け
書き直せる	書き直せ
ひしめきあう	ひしめきあい
乗り組む	乗り組み
引き戻す	引き戻し
持てる	持て
立あう	立あい
基づく	基づき
弓引く	弓引き
ぶち壊す	ぶち壊し
わきあがる	わきあがり
語りつぐ	語りつぎ
問掛ける	問掛け
狙われる	狙われ
埋めあわす	埋めあわし
喚ぶ	喚び
しりぞける	しりぞけ
こす	こし
大人ぶる	大人ぶり
居る	居
ねじふせる	ねじふせ
しゃくりあげる	しゃくりあげ
にごせる	にごせ
較べる	較べ
罷り越す	罷り越し
射せる	射せ
描きだす	描きだし
けっとばす	けっとばし
満つ	満ち
明け放す	明け放し
返り咲ける	返り咲け
誘い合わせる	誘い合わせ
つきつける	つきつけ
埋る	埋り
かき乱す	かき乱し
だまし取る	だまし取り
配り歩く	配り歩き
抱き込む	抱き込み
めしあがる	めしあがり
つうずる	めしあがり
ずば抜ける	ずば抜け
泣きぬれる	泣きぬれ
くしけずる	くしけずり
つみとる	つみとり
割戻す	割戻し
さだまる	さだまり
睨み合う	睨み合い
かわれる	かわれ
そむ	そみ
後らす	後らし
ごわする	後らし
迷わす	迷わし
泥む	泥み
仕出す	仕出し
おくする	仕出し
逆らえる	逆らえ
居あわせる	居あわせ
苛立つ	苛立ち
堕ちる	堕ち
慮る	慮り
怖じ気立つ	怖じ気立ち
きずく	きずき
とりあつかえる	とりあつかえ
扱き雑ぜる	扱き雑ぜ
はじける	はじけ
ふしおがむ	ふしおがみ
黙る	黙り
のめす	のめし
危ぶむ	危ぶみ
いりびたる	いりびたり
洗い流す	洗い流し
呉れる	呉れ
定まる	定まり
ばかせる	ばかせ
語りあう	語りあい
敬える	敬え
食らわせる	食らわせ
わたる	わたり
いいまわす	いいまわし
打ち抜ける	打ち抜け
ヒネる	ヒネり
転げでる	転げで
打ちのめす	打ちのめし
思い合せる	思い合せ
萎れる	萎れ
総べる	総べ
鳴らす	鳴らし
貸出す	貸出し
差し換える	差し換え
もぐり込む	もぐり込み
睨む	睨み
打ちつづく	打ちつづき
おいかける	おいかけ
ふりつもる	ふりつもり
かわく	かわき
はしりだせる	はしりだせ
省みる	省み
出合う	出合い
といかえす	といかえし
かぶさる	かぶさり
こづく	こづき
這う	這い
縫う	縫い
降込む	降込み
はめこむ	はめこみ
すみわたる	すみわたり
いふ	いひ
思へる	思へ
刷りこむ	刷りこみ
くらわせる	くらわせ
ゆすぶる	ゆすぶり
触れ合える	触れ合え
はねあがる	はねあがり
察する	はねあがり
ころげおちる	ころげおち
すぐす	すぐし
押しかえす	押しかえし
ただよわす	ただよわし
結論づける	結論づけ
しばり上げる	しばり上げ
欠く	欠き
乗り継ぐ	乗り継ぎ
ひめる	ひめ
むせびなく	むせびなき
やじる	やじり
けっする	やじり
みかぎる	みかぎり
わりあてる	わりあて
かき立てる	かき立て
あわてふためく	あわてふためき
吸付ける	吸付け
ごねる	ごね
ほざく	ほざき
せめぐ	せめぎ
食さがる	食さがり
追い打つ	追い打ち
休まれる	休まれ
動じる	動じ
染まる	染まり
立ち迷う	立ち迷い
染め上げる	染め上げ
たちむかう	たちむかい
はかれる	はかれ
巻き付く	巻き付き
光らせる	光らせ
挫ける	挫け
燃え移る	燃え移り
鈍する	燃え移り
ふくれあがる	ふくれあがり
いいそこなう	いいそこない
ぶんなげる	ぶんなげ
生い立つ	生い立ち
ごたつく	ごたつき
うろたえる	うろたえ
燃える	燃え
はむかう	はむかい
推する	はむかい
取逃す	取逃し
乗り通す	乗り通し
よそおう	よそおい
さむけだつ	さむけだち
こぼれおちる	こぼれおち
かいつくす	かいつくし
祀る	祀り
痛め付ける	痛め付け
持ちきる	持ちきり
疑える	疑え
掻き曇る	掻き曇り
返り咲く	返り咲き
うばえる	うばえ
願い出る	願い出
落ち延びる	落ち延び
辱める	辱め
おったてる	おったて
編み出す	編み出し
呼び止める	呼び止め
澄みきる	澄みきり
踏みきる	踏みきり
寄り付く	寄り付き
だきこむ	だきこみ
轟かせる	轟かせ
仰ける	仰け
毒する	仰け
かかえる	かかえ
ほふる	ほふり
捻る	捻り
触り合う	触り合い
角張る	角張り
悦ぶ	悦び
いちづける	いちづけ
仕込める	仕込め
くいこめる	くいこめ
組みこむ	組みこみ
おそう	おそい
あつかえる	あつかえ
嘱する	あつかえ
なげきくらす	なげきくらし
けやぶる	けやぶり
つくりなおす	つくりなおし
まるめる	まるめ
しびれる	しびれ
溶けあう	溶けあい
突き合わす	突き合わし
はぐる	はぐり
頼む	頼み
ゆがむ	ゆがみ
はみ出る	はみ出
あおむ	あおみ
玩ぶ	玩び
裁てる	裁て
ちりいそぐ	ちりいそぎ
棚引く	棚引き
引き下がる	引き下がり
てぐすねひく	てぐすねひき
括れる	括れ
引き締まる	引き締まり
参れる	参れ
立ちならぶ	立ちならび
そらうそぶく	そらうそぶき
羨む	羨み
ふきかえす	ふきかえし
はぐ	はぎ
みはらす	みはらし
けおされる	けおされ
洒落れる	洒落れ
おもいやる	おもいやり
ふとる	ふとり
ちぢらす	ちぢらし
うちまくる	うちまくり
明け残る	明け残り
ひきわたす	ひきわたし
ならびたてる	ならびたて
書き出せる	書き出せ
聞きつける	聞きつけ
研ぐ	研ぎ
つきはなせる	つきはなせ
萌む	萌み
ませる	ませ
折り込める	折り込め
ふり入れる	ふり入れ
押し分ける	押し分け
見慣れる	見慣れ
跳ねのける	跳ねのけ
染む	染み
訃ぐ	訃ぎ
拒める	拒め
貫き通せる	貫き通せ
くねる	くねり
ふりやむ	ふりやみ
ゆらぐ	ゆらぎ
読み切れる	読み切れ
ようだつ	ようだち
またす	またし
畳み込める	畳み込め
掛け合える	掛け合え
誘い出す	誘い出し
のりまわす	のりまわし
ほぐせる	ほぐせ
ぜっする	ほぐせ
蔵する	ほぐせ
食い違う	食い違い
印す	印し
手古摺る	手古摺り
まびける	まびけ
わりこむ	わりこみ
しくむ	しくみ
怪しむ	怪しみ
締めつける	締めつけ
受ける	受け
立ちどまる	立ちどまり
はいりきる	はいりきり
証す	証し
漕げる	漕げ
捜しまわる	捜しまわり
ゆきわたる	ゆきわたり
相入れる	相入れ
奏す	奏し
悦べる	悦べ
料る	料り
吸い寄せる	吸い寄せ
せぐくまる	せぐくまり
よえる	よえ
阻める	阻め
くるわす	くるわし
わすれさる	わすれさり
隠る	隠り
おもいのこす	おもいのこし
探し出せる	探し出せ
成さがる	成さがり
およげる	およげ
引き換える	引き換え
引き離せる	引き離せ
さえわたる	さえわたり
抱き起こせる	抱き起こせ
むち打つ	むち打ち
抗う	抗い
しょげかえる	しょげかえり
取り調べる	取り調べ
捕われる	捕われ
なる	なり
ふししずむ	ふししずみ
寂する	ふししずみ
取り持つ	取り持ち
おもいあたる	おもいあたり
語りかける	語りかけ
引っ越せる	引っ越せ
おもいなす	おもいなし
けす	けし
ぎらつく	ぎらつき
きりくむ	きりくみ
刻める	刻め
世ばなれる	世ばなれ
ひっくくる	ひっくくり
そぼぬれる	そぼぬれ
教え諭す	教え諭し
織り込める	織り込め
仰け反る	仰け反り
けがれる	けがれ
聞漏らす	聞漏らし
あざける	あざけり
飼う	飼い
引っ括める	引っ括め
ひょうげる	ひょうげ
延べる	延べ
かけ隔てる	かけ隔て
播く	播き
かすめ取る	かすめ取り
くだす	くだし
角立つ	角立ち
ほこる	ほこり
芽ぶく	芽ぶき
疲れはてる	疲れはて
くわわる	くわわり
追い付く	追い付き
差し上る	差し上り
踏ん切る	踏ん切り
ぬきはなつ	ぬきはなち
言い付ける	言い付け
そよ吹く	そよ吹き
ぼる	ぼり
蹲る	蹲り
繰下げる	繰下げ
率いる	率い
化かす	化かし
労する	化かし
持ちかえれる	持ちかえれ
つぎたす	つぎたし
住成す	住成し
締切る	締切り
挙がる	挙がり
突っぱる	突っぱり
出歩ける	出歩け
せる	せり
躙り寄る	躙り寄り
排す	排し
いさよう	いさよい
飲み潰す	飲み潰し
迎える	迎え
参らす	参らし
張りつく	張りつき
にげまわる	にげまわり
押掛ける	押掛け
掻き集める	掻き集め
住みつぶ	住みつび
妬む	妬み
愁える	愁え
はりつめる	はりつめ
追い立てる	追い立て
そりかえる	そりかえり
演ずる	そりかえり
取り立てる	取り立て
縁どる	縁どり
侍れる	侍れ
飛び跳ねる	飛び跳ね
つかいこむ	つかいこみ
忌む	忌み
ひとかわむける	ひとかわむけ
くりよせる	くりよせ
掛け離れる	掛け離れ
立替える	立替え
蹴落す	蹴落し
寝そべる	寝そべり
ひいでる	ひいで
ほりつける	ほりつけ
拾う	拾い
もうしかねる	もうしかね
明るむ	明るみ
張詰める	張詰め
吸いこむ	吸いこみ
流れ着く	流れ着き
降り懸る	降り懸り
植わる	植わり
追いやれる	追いやれ
すり付ける	すり付け
乗りつける	乗りつけ
飛あがる	飛あがり
いきおいづける	いきおいづけ
もどく	もどき
うつむける	うつむけ
たもちあう	たもちあい
かっきづく	かっきづき
取れる	取れ
語り合う	語り合い
討ち果たす	討ち果たし
まわす	まわし
たちあがれる	たちあがれ
取り毀す	取り毀し
跡絶える	跡絶え
裏がえる	裏がえり
解明かす	解明かし
加え持つ	加え持ち
あてこめる	あてこめ
せき立てる	せき立て
くちる	くち
きがえる	きがえ
輝り返す	輝り返し
じれる	じれ
やっかむ	やっかみ
あそびまわれる	あそびまわれ
書入れる	書入れ
のり出す	のり出し
あてはまる	あてはまり
ふえる	ふえ
折れ曲がる	折れ曲がり
惜しむ	惜しみ
かきおくる	かきおくり
つきさせる	つきさせ
ひりつく	ひりつき
うかす	うかし
薫ずる	うかし
めしあげる	めしあげ
ききかえす	ききかえし
焼け出す	焼け出し
掛ける	掛け
置忘れる	置忘れ
筋ばる	筋ばり
浮腫む	浮腫み
散らばる	散らばり
与する	散らばり
負かる	負かり
願える	願え
重なる	重なり
弑する	重なり
つんざく	つんざき
読通す	読通し
