引き込む	引き込ん
すきかえす	すきかえし
看取る	看取っ
睦む	睦ん
きこす	きこし
つける	つけ
封切る	封切っ
逃げまどう	逃げまどっ
さしだす	さしだし
わりきる	わりきっ
飛び抜ける	飛び抜け
書き直せる	書き直せ
ひしめきあう	ひしめきあっ
乗り組む	乗り組ん
引き戻す	引き戻し
持てる	持て
立あう	立あっ
基づく	基づい
弓引く	弓引い
ぶち壊す	ぶち壊し
わきあがる	わきあがっ
語りつぐ	語りつい
問掛ける	問掛け
狙われる	狙われ
埋めあわす	埋めあわし
喚ぶ	喚ん
しりぞける	しりぞけ
こす	こし
大人ぶる	大人ぶっ
居る	居
ねじふせる	ねじふせ
しゃくりあげる	しゃくりあげ
にごせる	にごせ
較べる	較べ
罷り越す	罷り越し
射せる	射せ
描きだす	描きだし
けっとばす	けっとばし
満つ	満っ
明け放す	明け放し
返り咲ける	返り咲け
誘い合わせる	誘い合わせ
つきつける	つきつけ
埋る	埋っ
かき乱す	かき乱し
だまし取る	だまし取っ
配り歩く	配り歩い
抱き込む	抱き込ん
めしあがる	めしあがっ
つうずる	めしあがっ
ずば抜ける	ずば抜け
泣きぬれる	泣きぬれ
くしけずる	くしけずっ
つみとる	つみとっ
割戻す	割戻し
さだまる	さだまっ
睨み合う	睨み合っ
かわれる	かわれ
そむ	そん
後らす	後らし
ごわする	後らし
迷わす	迷わし
泥む	泥ん
仕出す	仕出し
おくする	仕出し
逆らえる	逆らえ
居あわせる	居あわせ
苛立つ	苛立っ
堕ちる	堕ち
慮る	慮っ
怖じ気立つ	怖じ気立っ
きずく	きずい
とりあつかえる	とりあつかえ
扱き雑ぜる	扱き雑ぜ
はじける	はじけ
ふしおがむ	ふしおがん
黙る	黙っ
のめす	のめし
危ぶむ	危ぶん
いりびたる	いりびたっ
洗い流す	洗い流し
呉れる	呉れ
定まる	定まっ
ばかせる	ばかせ
語りあう	語りあっ
敬える	敬え
食らわせる	食らわせ
わたる	わたっ
いいまわす	いいまわし
打ち抜ける	打ち抜け
ヒネる	ヒネっ
転げでる	転げで
打ちのめす	打ちのめし
思い合せる	思い合せ
萎れる	萎れ
総べる	総べ
鳴らす	鳴らし
貸出す	貸出し
差し換える	差し換え
もぐり込む	もぐり込ん
睨む	睨ん
打ちつづく	打ちつづい
おいかける	おいかけ
ふりつもる	ふりつもっ
かわく	かわい
はしりだせる	はしりだせ
省みる	省み
出合う	出合っ
といかえす	といかえし
かぶさる	かぶさっ
こづく	こづい
這う	這っ
縫う	縫っ
降込む	降込ん
はめこむ	はめこん
すみわたる	すみわたっ
いふ	いひ
思へる	思へ
刷りこむ	刷りこん
くらわせる	くらわせ
ゆすぶる	ゆすぶっ
触れ合える	触れ合え
はねあがる	はねあがっ
察する	はねあがっ
ころげおちる	ころげおち
すぐす	すぐし
押しかえす	押しかえし
ただよわす	ただよわし
結論づける	結論づけ
しばり上げる	しばり上げ
欠く	欠い
乗り継ぐ	乗り継い
ひめる	ひめ
むせびなく	むせびない
やじる	やじっ
けっする	やじっ
みかぎる	みかぎっ
わりあてる	わりあて
かき立てる	かき立て
あわてふためく	あわてふためい
吸付ける	吸付け
ごねる	ごね
ほざく	ほざい
せめぐ	せめい
食さがる	食さがっ
追い打つ	追い打っ
休まれる	休まれ
動じる	動じ
染まる	染まっ
立ち迷う	立ち迷っ
染め上げる	染め上げ
たちむかう	たちむかっ
はかれる	はかれ
巻き付く	巻き付い
光らせる	光らせ
挫ける	挫け
燃え移る	燃え移っ
鈍する	燃え移っ
ふくれあがる	ふくれあがっ
いいそこなう	いいそこなっ
ぶんなげる	ぶんなげ
生い立つ	生い立っ
ごたつく	ごたつい
うろたえる	うろたえ
燃える	燃え
はむかう	はむかっ
推する	はむかっ
取逃す	取逃し
乗り通す	乗り通し
よそおう	よそおっ
さむけだつ	さむけだっ
こぼれおちる	こぼれおち
かいつくす	かいつくし
祀る	祀っ
痛め付ける	痛め付け
持ちきる	持ちきっ
疑える	疑え
掻き曇る	掻き曇っ
返り咲く	返り咲い
うばえる	うばえ
願い出る	願い出
落ち延びる	落ち延び
辱める	辱め
おったてる	おったて
編み出す	編み出し
呼び止める	呼び止め
澄みきる	澄みきっ
踏みきる	踏みきっ
寄り付く	寄り付い
だきこむ	だきこん
轟かせる	轟かせ
仰ける	仰け
毒する	仰け
かかえる	かかえ
ほふる	ほふっ
捻る	捻っ
触り合う	触り合っ
角張る	角張っ
悦ぶ	悦ん
いちづける	いちづけ
仕込める	仕込め
くいこめる	くいこめ
組みこむ	組みこん
おそう	おそっ
あつかえる	あつかえ
嘱する	あつかえ
なげきくらす	なげきくらし
けやぶる	けやぶっ
つくりなおす	つくりなおし
まるめる	まるめ
しびれる	しびれ
溶けあう	溶けあっ
突き合わす	突き合わし
はぐる	はぐっ
頼む	頼ん
ゆがむ	ゆがん
はみ出る	はみ出
あおむ	あおん
玩ぶ	玩ん
裁てる	裁て
ちりいそぐ	ちりいそい
棚引く	棚引い
引き下がる	引き下がっ
てぐすねひく	てぐすねひい
括れる	括れ
引き締まる	引き締まっ
参れる	参れ
立ちならぶ	立ちならん
そらうそぶく	そらうそぶい
羨む	羨ん
ふきかえす	ふきかえし
はぐ	はい
みはらす	みはらし
けおされる	けおされ
洒落れる	洒落れ
おもいやる	おもいやっ
ふとる	ふとっ
ちぢらす	ちぢらし
うちまくる	うちまくっ
明け残る	明け残っ
ひきわたす	ひきわたし
ならびたてる	ならびたて
書き出せる	書き出せ
聞きつける	聞きつけ
研ぐ	研い
つきはなせる	つきはなせ
萌む	萌ん
ませる	ませ
折り込める	折り込め
ふり入れる	ふり入れ
押し分ける	押し分け
見慣れる	見慣れ
跳ねのける	跳ねのけ
染む	染ん
訃ぐ	訃い
拒める	拒め
貫き通せる	貫き通せ
くねる	くねっ
ふりやむ	ふりやん
ゆらぐ	ゆらい
読み切れる	読み切れ
ようだつ	ようだっ
またす	またし
畳み込める	畳み込め
掛け合える	掛け合え
誘い出す	誘い出し
のりまわす	のりまわし
ほぐせる	ほぐせ
ぜっする	ほぐせ
蔵する	ほぐせ
食い違う	食い違っ
印す	印し
手古摺る	手古摺っ
まびける	まびけ
わりこむ	わりこん
しくむ	しくん
怪しむ	怪しん
締めつける	締めつけ
受ける	受け
立ちどまる	立ちどまっ
はいりきる	はいりきっ
証す	証し
漕げる	漕げ
捜しまわる	捜しまわっ
ゆきわたる	ゆきわたっ
